city,state,lat,lon,cbsa_code,latte_price,observation_count,price_channel,source_label,source_url,notes
Seattle,WA,47.6062,-122.3321,42660,5.55,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-1524-7th-ave-seattle/12326640; https://www.grubhub.com/restaurant/starbucks-999-nw-leary-wy-seattle/14442456","Two Seattle delivery-menu snippets showed Caffè Latte at $5.65+ and $5.45+; averaged."
Los Angeles,CA,34.0522,-118.2437,31080,5.75,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-5166-a-lankershim-blvd-los-angeles/11146720; https://www.grubhub.com/restaurant/starbucks-11331-camarillo-st-los-angeles/11124984","Two LA delivery-menu snippets showed Caffè Latte at $5.75+."
San Diego,CA,32.7157,-117.1611,41740,5.75,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-3881-valley-centre-dr-san-diego/11493400; https://www.grubhub.com/restaurant/starbucks-4262-camino-del-rio-n-san-diego/12339864","Two San Diego delivery-menu snippets showed Caffè Latte at $5.75+."
San Francisco,CA,37.7749,-122.4194,41860,5.75,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-1-letterman-dr-san-francisco/11447568,"San Francisco delivery-menu snippet showed Caffè Latte at $5.75+."
Austin,TX,30.2672,-97.7431,12420,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-7710-n-fm-620-austin/8309096,"Austin delivery-menu snippet showed Caffè Latte at $5.45+."
Houston,TX,29.7604,-95.3698,26420,5.65,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-11700-westheimer-rd-houston/8307592,"Houston delivery-menu snippet showed Caffè Latte at $5.65+."
Dallas,TX,32.7767,-96.7970,19100,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-12262-inwood-rd-dallas/11146472,"Dallas delivery-menu snippet showed Caffè Latte at $5.45+."
Boston,MA,42.3601,-71.0589,14460,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-84-state-st-boston/12316416,"Boston delivery-menu snippet showed Caffè Latte at $5.45+."
New York,NY,40.7128,-74.0060,35620,6.19,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-3000-jerome-ave-bronx/13860560,"Bronx/New York delivery-menu snippet showed Caffè Latte at $6.19+."
Philadelphia,PA,39.9526,-75.1652,37980,5.63,3,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-2201-south-st-philadelphia/8291920; https://www.grubhub.com/restaurant/starbucks-69-73-w-chelten-ave-philadelphia/13861448; https://www.grubhub.com/restaurant/starbucks-4600-city-line-avenue-philadelphia/8402168","Philadelphia snippets showed $5.85+, $5.59+, and $5.45+; averaged."
