store_id,region,store_type,walkability_score,avg_ticket
S001,Seattle,suburban,61.6,8.94
S002,Redmond,drive_thru,70.9,9.27
S003,Seattle,urban_core,42.1,9.77
S004,Seattle,urban_core,81.0,10.16
S005,Bellevue,suburban,80.1,8.36
S006,Seattle,suburban,88.0,10.63
S007,Bellevue,suburban,76.3,9.04
S008,Redmond,campus,82.0,11.58
S009,Bellevue,suburban,60.5,8.01
S010,Seattle,urban_core,59.0,11.23
S011,Bellevue,urban_core,80.5,8.33
S012,Tacoma,drive_thru,83.0,7.98
S013,Tacoma,suburban,61.4,8.7
S014,Tacoma,urban_core,79.4,7.37
S015,Bellevue,suburban,63.6,12.29
S016,Seattle,drive_thru,59.5,11.56
S017,Tacoma,suburban,72.3,9.75
S018,Seattle,urban_core,80.5,8.54
S019,Tacoma,urban_core,67.4,8.6
S020,Seattle,campus,63.3,5.12
S021,Tacoma,suburban,63.9,8.68
S022,Seattle,suburban,70.3,8.07
S023,Redmond,suburban,74.6,7.5
S024,Tacoma,drive_thru,77.8,9.67
S025,Bellevue,drive_thru,66.6,10.95
S026,Seattle,suburban,55.7,8.71
S027,Seattle,drive_thru,56.5,9.59
S028,Tacoma,urban_core,54.3,11.84
S029,Bellevue,drive_thru,78.0,9.12
S030,Seattle,urban_core,75.5,7.98
S031,Redmond,drive_thru,81.4,9.14
S032,Tacoma,drive_thru,61.3,7.29
S033,Seattle,campus,85.1,10.78
S034,Seattle,drive_thru,71.4,10.11
S035,Redmond,urban_core,53.3,10.11
S036,Seattle,drive_thru,79.9,7.84
