date,store_id,category,units_sold,price,base_price,unit_cost,discount_pct,temperature_f,precipitation_in
2025-01-01,S001,espresso,60,5.75,5.75,1.65,0.0,50.7,0.13
2025-01-01,S001,cold_beverage,52,6.25,6.25,1.85,0.0,50.7,0.13
2025-01-01,S001,tea,33,4.95,4.95,1.25,0.0,50.7,0.13
2025-01-01,S001,food,45,6.16,7.25,3.45,0.15,50.7,0.13
2025-01-01,S001,whole_bean,10,14.95,14.95,6.25,0.0,50.7,0.13
2025-01-02,S001,espresso,85,5.75,5.75,1.65,0.0,29.1,0.021
2025-01-02,S001,cold_beverage,36,6.25,6.25,1.85,0.0,29.1,0.021
2025-01-02,S001,tea,29,4.95,4.95,1.25,0.0,29.1,0.021
2025-01-02,S001,food,37,7.25,7.25,3.45,0.0,29.1,0.021
2025-01-02,S001,whole_bean,11,14.95,14.95,6.25,0.0,29.1,0.021
2025-01-03,S001,espresso,84,5.17,5.75,1.65,0.1,34.5,0.021
2025-01-03,S001,cold_beverage,41,6.25,6.25,1.85,0.0,34.5,0.021
2025-01-03,S001,tea,31,4.95,4.95,1.25,0.0,34.5,0.021
2025-01-03,S001,food,35,7.25,7.25,3.45,0.0,34.5,0.021
2025-01-03,S001,whole_bean,12,14.95,14.95,6.25,0.0,34.5,0.021
2025-01-04,S001,espresso,83,5.75,5.75,1.65,0.0,27.0,0.031
2025-01-04,S001,cold_beverage,35,6.25,6.25,1.85,0.0,27.0,0.031
2025-01-04,S001,tea,39,4.95,4.95,1.25,0.0,27.0,0.031
2025-01-04,S001,food,39,7.25,7.25,3.45,0.0,27.0,0.031
2025-01-04,S001,whole_bean,9,14.95,14.95,6.25,0.0,27.0,0.031
2025-01-05,S001,espresso,77,5.75,5.75,1.65,0.0,39.8,0.072
2025-01-05,S001,cold_beverage,59,6.25,6.25,1.85,0.0,39.8,0.072
2025-01-05,S001,tea,47,4.95,4.95,1.25,0.0,39.8,0.072
2025-01-05,S001,food,45,7.25,7.25,3.45,0.0,39.8,0.072
2025-01-05,S001,whole_bean,10,14.95,14.95,6.25,0.0,39.8,0.072
2025-01-06,S001,espresso,91,5.75,5.75,1.65,0.0,33.0,0.0
2025-01-06,S001,cold_beverage,46,6.25,6.25,1.85,0.0,33.0,0.0
2025-01-06,S001,tea,39,4.95,4.95,1.25,0.0,33.0,0.0
2025-01-06,S001,food,44,7.25,7.25,3.45,0.0,33.0,0.0
2025-01-06,S001,whole_bean,10,14.95,14.95,6.25,0.0,33.0,0.0
2025-01-07,S001,espresso,93,5.75,5.75,1.65,0.0,40.1,0.192
2025-01-07,S001,cold_beverage,54,6.25,6.25,1.85,0.0,40.1,0.192
2025-01-07,S001,tea,29,4.95,4.95,1.25,0.0,40.1,0.192
2025-01-07,S001,food,32,7.25,7.25,3.45,0.0,40.1,0.192
2025-01-07,S001,whole_bean,9,14.95,14.95,6.25,0.0,40.1,0.192
2025-01-08,S001,espresso,98,5.75,5.75,1.65,0.0,40.3,0.085
2025-01-08,S001,cold_beverage,45,6.25,6.25,1.85,0.0,40.3,0.085
2025-01-08,S001,tea,35,4.95,4.95,1.25,0.0,40.3,0.085
2025-01-08,S001,food,36,7.25,7.25,3.45,0.0,40.3,0.085
2025-01-08,S001,whole_bean,15,14.95,14.95,6.25,0.0,40.3,0.085
2025-01-09,S001,espresso,80,5.75,5.75,1.65,0.0,42.0,0.0
2025-01-09,S001,cold_beverage,63,6.25,6.25,1.85,0.0,42.0,0.0
2025-01-09,S001,tea,50,4.95,4.95,1.25,0.0,42.0,0.0
2025-01-09,S001,food,35,7.25,7.25,3.45,0.0,42.0,0.0
2025-01-09,S001,whole_bean,12,14.95,14.95,6.25,0.0,42.0,0.0
2025-01-10,S001,espresso,60,5.75,5.75,1.65,0.0,49.9,0.273
2025-01-10,S001,cold_beverage,59,6.25,6.25,1.85,0.0,49.9,0.273
2025-01-10,S001,tea,34,4.95,4.95,1.25,0.0,49.9,0.273
2025-01-10,S001,food,42,7.25,7.25,3.45,0.0,49.9,0.273
2025-01-10,S001,whole_bean,8,14.95,14.95,6.25,0.0,49.9,0.273
2025-01-11,S001,espresso,93,5.75,5.75,1.65,0.0,43.1,0.05
2025-01-11,S001,cold_beverage,77,6.25,6.25,1.85,0.0,43.1,0.05
2025-01-11,S001,tea,55,4.21,4.95,1.25,0.15,43.1,0.05
2025-01-11,S001,food,51,7.25,7.25,3.45,0.0,43.1,0.05
2025-01-11,S001,whole_bean,16,14.95,14.95,6.25,0.0,43.1,0.05
2025-01-12,S001,espresso,89,5.75,5.75,1.65,0.0,42.3,0.0
2025-01-12,S001,cold_beverage,58,6.25,6.25,1.85,0.0,42.3,0.0
2025-01-12,S001,tea,42,4.95,4.95,1.25,0.0,42.3,0.0
2025-01-12,S001,food,44,7.25,7.25,3.45,0.0,42.3,0.0
2025-01-12,S001,whole_bean,13,14.95,14.95,6.25,0.0,42.3,0.0
2025-01-13,S001,espresso,74,5.75,5.75,1.65,0.0,41.9,0.06
2025-01-13,S001,cold_beverage,38,6.25,6.25,1.85,0.0,41.9,0.06
2025-01-13,S001,tea,25,4.95,4.95,1.25,0.0,41.9,0.06
2025-01-13,S001,food,43,7.25,7.25,3.45,0.0,41.9,0.06
2025-01-13,S001,whole_bean,13,14.95,14.95,6.25,0.0,41.9,0.06
2025-01-14,S001,espresso,110,4.89,5.75,1.65,0.15,41.5,0.001
2025-01-14,S001,cold_beverage,46,6.25,6.25,1.85,0.0,41.5,0.001
2025-01-14,S001,tea,32,4.95,4.95,1.25,0.0,41.5,0.001
2025-01-14,S001,food,48,7.25,7.25,3.45,0.0,41.5,0.001
2025-01-14,S001,whole_bean,7,14.95,14.95,6.25,0.0,41.5,0.001
2025-01-15,S001,espresso,103,4.89,5.75,1.65,0.15,29.1,0.098
2025-01-15,S001,cold_beverage,51,5.31,6.25,1.85,0.15,29.1,0.098
2025-01-15,S001,tea,40,4.95,4.95,1.25,0.0,29.1,0.098
2025-01-15,S001,food,27,7.25,7.25,3.45,0.0,29.1,0.098
2025-01-15,S001,whole_bean,19,14.95,14.95,6.25,0.0,29.1,0.098
2025-01-16,S001,espresso,95,5.75,5.75,1.65,0.0,34.2,0.037
2025-01-16,S001,cold_beverage,40,6.25,6.25,1.85,0.0,34.2,0.037
2025-01-16,S001,tea,45,4.95,4.95,1.25,0.0,34.2,0.037
2025-01-16,S001,food,41,7.25,7.25,3.45,0.0,34.2,0.037
2025-01-16,S001,whole_bean,17,14.95,14.95,6.25,0.0,34.2,0.037
2025-01-17,S001,espresso,85,5.75,5.75,1.65,0.0,38.3,0.0
2025-01-17,S001,cold_beverage,56,6.25,6.25,1.85,0.0,38.3,0.0
2025-01-17,S001,tea,35,4.95,4.95,1.25,0.0,38.3,0.0
2025-01-17,S001,food,26,7.25,7.25,3.45,0.0,38.3,0.0
2025-01-17,S001,whole_bean,9,14.95,14.95,6.25,0.0,38.3,0.0
2025-01-18,S001,espresso,95,5.75,5.75,1.65,0.0,30.0,0.073
2025-01-18,S001,cold_beverage,39,6.25,6.25,1.85,0.0,30.0,0.073
2025-01-18,S001,tea,34,4.95,4.95,1.25,0.0,30.0,0.073
2025-01-18,S001,food,32,7.25,7.25,3.45,0.0,30.0,0.073
2025-01-18,S001,whole_bean,20,14.95,14.95,6.25,0.0,30.0,0.073
2025-01-19,S001,espresso,102,5.75,5.75,1.65,0.0,37.5,0.148
2025-01-19,S001,cold_beverage,44,6.25,6.25,1.85,0.0,37.5,0.148
2025-01-19,S001,tea,32,4.95,4.95,1.25,0.0,37.5,0.148
2025-01-19,S001,food,43,7.25,7.25,3.45,0.0,37.5,0.148
2025-01-19,S001,whole_bean,10,14.95,14.95,6.25,0.0,37.5,0.148
2025-01-20,S001,espresso,68,5.75,5.75,1.65,0.0,33.4,0.024
2025-01-20,S001,cold_beverage,38,6.25,6.25,1.85,0.0,33.4,0.024
2025-01-20,S001,tea,36,4.95,4.95,1.25,0.0,33.4,0.024
2025-01-20,S001,food,36,7.25,7.25,3.45,0.0,33.4,0.024
2025-01-20,S001,whole_bean,12,14.95,14.95,6.25,0.0,33.4,0.024
2025-01-21,S001,espresso,71,5.75,5.75,1.65,0.0,33.7,0.0
2025-01-21,S001,cold_beverage,32,6.25,6.25,1.85,0.0,33.7,0.0
2025-01-21,S001,tea,40,4.95,4.95,1.25,0.0,33.7,0.0
2025-01-21,S001,food,43,7.25,7.25,3.45,0.0,33.7,0.0
2025-01-21,S001,whole_bean,17,13.46,14.95,6.25,0.1,33.7,0.0
2025-01-22,S001,espresso,80,5.75,5.75,1.65,0.0,43.9,0.0
2025-01-22,S001,cold_beverage,62,6.25,6.25,1.85,0.0,43.9,0.0
2025-01-22,S001,tea,27,4.95,4.95,1.25,0.0,43.9,0.0
2025-01-22,S001,food,31,7.25,7.25,3.45,0.0,43.9,0.0
2025-01-22,S001,whole_bean,16,14.95,14.95,6.25,0.0,43.9,0.0
2025-01-23,S001,espresso,108,4.89,5.75,1.65,0.15,34.4,0.086
2025-01-23,S001,cold_beverage,56,5.31,6.25,1.85,0.15,34.4,0.086
2025-01-23,S001,tea,35,4.95,4.95,1.25,0.0,34.4,0.086
2025-01-23,S001,food,45,6.53,7.25,3.45,0.1,34.4,0.086
2025-01-23,S001,whole_bean,7,14.95,14.95,6.25,0.0,34.4,0.086
2025-01-24,S001,espresso,75,5.75,5.75,1.65,0.0,32.2,0.034
2025-01-24,S001,cold_beverage,41,6.25,6.25,1.85,0.0,32.2,0.034
2025-01-24,S001,tea,47,4.95,4.95,1.25,0.0,32.2,0.034
2025-01-24,S001,food,43,7.25,7.25,3.45,0.0,32.2,0.034
2025-01-24,S001,whole_bean,11,14.95,14.95,6.25,0.0,32.2,0.034
2025-01-25,S001,espresso,85,5.75,5.75,1.65,0.0,33.2,0.06
2025-01-25,S001,cold_beverage,48,6.25,6.25,1.85,0.0,33.2,0.06
2025-01-25,S001,tea,41,4.95,4.95,1.25,0.0,33.2,0.06
2025-01-25,S001,food,40,7.25,7.25,3.45,0.0,33.2,0.06
2025-01-25,S001,whole_bean,12,14.95,14.95,6.25,0.0,33.2,0.06
2025-01-26,S001,espresso,98,5.75,5.75,1.65,0.0,36.5,0.158
2025-01-26,S001,cold_beverage,33,6.25,6.25,1.85,0.0,36.5,0.158
2025-01-26,S001,tea,40,4.95,4.95,1.25,0.0,36.5,0.158
2025-01-26,S001,food,44,7.25,7.25,3.45,0.0,36.5,0.158
2025-01-26,S001,whole_bean,11,14.95,14.95,6.25,0.0,36.5,0.158
2025-01-27,S001,espresso,72,5.75,5.75,1.65,0.0,43.4,0.094
2025-01-27,S001,cold_beverage,51,6.25,6.25,1.85,0.0,43.4,0.094
2025-01-27,S001,tea,34,4.95,4.95,1.25,0.0,43.4,0.094
2025-01-27,S001,food,41,7.25,7.25,3.45,0.0,43.4,0.094
2025-01-27,S001,whole_bean,13,14.95,14.95,6.25,0.0,43.4,0.094
2025-01-28,S001,espresso,117,4.89,5.75,1.65,0.15,34.9,0.17
2025-01-28,S001,cold_beverage,43,6.25,6.25,1.85,0.0,34.9,0.17
2025-01-28,S001,tea,34,4.95,4.95,1.25,0.0,34.9,0.17
2025-01-28,S001,food,32,7.25,7.25,3.45,0.0,34.9,0.17
2025-01-28,S001,whole_bean,15,14.95,14.95,6.25,0.0,34.9,0.17
2025-01-29,S001,espresso,87,5.75,5.75,1.65,0.0,36.2,0.0
2025-01-29,S001,cold_beverage,51,6.25,6.25,1.85,0.0,36.2,0.0
2025-01-29,S001,tea,39,4.95,4.95,1.25,0.0,36.2,0.0
2025-01-29,S001,food,31,7.25,7.25,3.45,0.0,36.2,0.0
2025-01-29,S001,whole_bean,16,14.95,14.95,6.25,0.0,36.2,0.0
2025-01-30,S001,espresso,75,5.75,5.75,1.65,0.0,42.5,0.0
2025-01-30,S001,cold_beverage,51,6.25,6.25,1.85,0.0,42.5,0.0
2025-01-30,S001,tea,23,4.95,4.95,1.25,0.0,42.5,0.0
2025-01-30,S001,food,40,7.25,7.25,3.45,0.0,42.5,0.0
2025-01-30,S001,whole_bean,17,14.95,14.95,6.25,0.0,42.5,0.0
2025-01-31,S001,espresso,87,5.75,5.75,1.65,0.0,35.7,0.135
2025-01-31,S001,cold_beverage,60,5.62,6.25,1.85,0.1,35.7,0.135
2025-01-31,S001,tea,51,4.95,4.95,1.25,0.0,35.7,0.135
2025-01-31,S001,food,38,7.25,7.25,3.45,0.0,35.7,0.135
2025-01-31,S001,whole_bean,17,14.95,14.95,6.25,0.0,35.7,0.135
2025-02-01,S001,espresso,84,5.75,5.75,1.65,0.0,45.7,0.0
2025-02-01,S001,cold_beverage,56,6.25,6.25,1.85,0.0,45.7,0.0
2025-02-01,S001,tea,59,4.95,4.95,1.25,0.0,45.7,0.0
2025-02-01,S001,food,42,7.25,7.25,3.45,0.0,45.7,0.0
2025-02-01,S001,whole_bean,14,14.95,14.95,6.25,0.0,45.7,0.0
2025-02-02,S001,espresso,77,5.75,5.75,1.65,0.0,31.4,0.0
2025-02-02,S001,cold_beverage,45,6.25,6.25,1.85,0.0,31.4,0.0
2025-02-02,S001,tea,34,4.95,4.95,1.25,0.0,31.4,0.0
2025-02-02,S001,food,54,7.25,7.25,3.45,0.0,31.4,0.0
2025-02-02,S001,whole_bean,9,14.95,14.95,6.25,0.0,31.4,0.0
2025-02-03,S001,espresso,79,5.75,5.75,1.65,0.0,40.7,0.049
2025-02-03,S001,cold_beverage,64,5.62,6.25,1.85,0.1,40.7,0.049
2025-02-03,S001,tea,41,4.95,4.95,1.25,0.0,40.7,0.049
2025-02-03,S001,food,33,7.25,7.25,3.45,0.0,40.7,0.049
2025-02-03,S001,whole_bean,10,14.95,14.95,6.25,0.0,40.7,0.049
2025-02-04,S001,espresso,85,5.75,5.75,1.65,0.0,32.6,0.016
2025-02-04,S001,cold_beverage,47,6.25,6.25,1.85,0.0,32.6,0.016
2025-02-04,S001,tea,34,4.95,4.95,1.25,0.0,32.6,0.016
2025-02-04,S001,food,42,7.25,7.25,3.45,0.0,32.6,0.016
2025-02-04,S001,whole_bean,12,14.95,14.95,6.25,0.0,32.6,0.016
2025-02-05,S001,espresso,66,5.75,5.75,1.65,0.0,30.6,0.0
2025-02-05,S001,cold_beverage,28,6.25,6.25,1.85,0.0,30.6,0.0
