city,state,lat,lon,cbsa_code,latte_price,observation_count,price_channel,source_label,source_url,notes,GeoName,rpp_all_items,rpp_goods,rpp_housing,rpp_other_services,rpp_utilities,latte_index_vs_sample_avg,rpp_gap,predicted_latte_from_rpp,residual_vs_rpp_model
Honolulu,HI,21.3069,-157.8583,46520,6.35,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-4211-waialae-ave-honolulu/11145384; https://www.grubhub.com/restaurant/starbucks-25-kaneohe-bay-dr-kailua/12332400,Honolulu-area snippets showed Caffè Latte at $6.35+.,"Urban Honolulu, HI (Metropolitan Statistical Area)",110.961,111.562,135.538,102.898,187.263,112.72930501676642,1.7683050167664192,5.757120547269585,0.5928794527304149
New York,NY,40.7128,-74.006,35620,6.19,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-3000-jerome-ave-bronx/13860560,Bronx/New York delivery-menu snippet showed Caffè Latte at $6.19+.,"New York-Newark-Jersey City, NY-NJ (Metropolitan Statistical Area)",112.563,110.261,148.616,105.836,127.018,109.8888815832731,-2.6741184167268983,5.782267284946754,0.40773271505324615
Atlanta,GA,33.749,-84.388,12060,5.85,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-867-peachtree-st-ne-atlanta/11493648,Atlanta delivery-menu snippet showed Caffè Latte at $5.85+.,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",100.058,100.416,111.022,96.701,96.239,103.85298178709976,3.7949817870997578,5.585975178421782,0.26402482157821794
Charlotte,NC,35.2271,-80.8431,16740,5.85,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-4450-randolph-rd-charlotte/8306872,Charlotte delivery-menu snippet showed Caffè Latte at $5.85+.,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",97.348,96.58,97.635,98.2,89.164,103.85298178709976,6.504981787099766,5.543436065372388,0.30656393462761145
San Diego,CA,32.7157,-117.1611,41740,5.75,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-3881-valley-centre-dr-san-diego/11493400; https://www.grubhub.com/restaurant/starbucks-4262-camino-del-rio-n-san-diego/12339864,Two San Diego delivery-menu snippets showed Caffè Latte at $5.75+.,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",111.887,107.963,179.267,99.597,174.247,102.07771714116643,-9.80928285883357,5.771656052318935,-0.021656052318935082
San Francisco,CA,37.7749,-122.4194,41860,5.75,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-1-letterman-dr-san-francisco/11447568,San Francisco delivery-menu snippet showed Caffè Latte at $5.75+.,"San Francisco-Oakland-Fremont, CA (Metropolitan Statistical Area)",115.613,108.465,194.718,106.207,172.585,102.07771714116643,-13.535282858833568,5.83014340848943,-0.08014340848943036
Los Angeles,CA,34.0522,-118.2437,31080,5.75,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-5166-a-lankershim-blvd-los-angeles/11146720; https://www.grubhub.com/restaurant/starbucks-11331-camarillo-st-los-angeles/11124984,Two LA delivery-menu snippets showed Caffè Latte at $5.75+.,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",113.566,106.623,170.433,104.362,158.589,102.07771714116643,-11.488282858833571,5.7980114659019355,-0.0480114659019355
Portland,OR,45.5152,-122.6784,38900,5.65,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-7515-sw-barnes-rd-portland/8383560,Portland delivery-menu snippet showed Caffè Latte at $5.65+.,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",105.421,105.222,125.114,100.136,106.974,100.30245249523311,-5.1185475047668945,5.670158670408462,-0.020158670408461532
Tampa,FL,27.9506,-82.4572,45300,5.65,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-3409-w-bay-to-bay-blvd-tampa/8376384; https://www.grubhub.com/restaurant/starbucks-1508-n-westshore-blvd-tampa/11116528,Tampa snippets showed $5.85+ and $5.45+; averaged.,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",100.89,95.47,125.839,97.565,88.525,100.30245249523311,-0.5875475047668886,5.599035157040636,0.0509648429593641
Houston,TX,29.7604,-95.3698,26420,5.65,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-11700-westheimer-rd-houston/8307592,Houston delivery-menu snippet showed Caffè Latte at $5.65+.,"Houston-Pasadena-The Woodlands, TX (Metropolitan Statistical Area)",98.629,100.639,104.51,95.595,95.288,100.30245249523311,1.6734524952331071,5.5635440372603115,0.08645596273968881
