date,store_id,region,store_type,walkability_score,category,units_sold,price,base_price,unit_cost,discount_pct,temperature_f,precipitation_in,day_of_week,is_weekend,is_holiday,week_start,revenue,gross_margin,is_promoted,trailing_28d_units,trailing_28d_margin,baseline_units,baseline_margin
2025-01-01,S001,Seattle,suburban,61.6,cold_beverage,52,6.25,6.25,1.85,0.0,50.7,0.13,Wednesday,0,1,2024-12-30,325.0,228.8,0,,,52.0,228.8
2025-01-02,S001,Seattle,suburban,61.6,cold_beverage,36,6.25,6.25,1.85,0.0,29.1,0.021,Thursday,0,0,2024-12-30,225.0,158.4,0,52.0,228.8,52.0,228.8
2025-01-03,S001,Seattle,suburban,61.6,cold_beverage,41,6.25,6.25,1.85,0.0,34.5,0.021,Friday,0,0,2024-12-30,256.25,180.4,0,44.0,193.60000000000002,44.0,193.60000000000002
2025-01-04,S001,Seattle,suburban,61.6,cold_beverage,35,6.25,6.25,1.85,0.0,27.0,0.031,Saturday,1,0,2024-12-30,218.75,154.0,0,43.0,189.20000000000002,43.0,189.20000000000002
2025-01-05,S001,Seattle,suburban,61.6,cold_beverage,59,6.25,6.25,1.85,0.0,39.8,0.072,Sunday,1,0,2024-12-30,368.75,259.6,0,41.0,180.4,41.0,180.4
2025-01-06,S001,Seattle,suburban,61.6,cold_beverage,46,6.25,6.25,1.85,0.0,33.0,0.0,Monday,0,0,2025-01-06,287.5,202.4,0,44.6,196.24,44.6,196.24
2025-01-07,S001,Seattle,suburban,61.6,cold_beverage,54,6.25,6.25,1.85,0.0,40.1,0.192,Tuesday,0,0,2025-01-06,337.5,237.6,0,44.833333333333336,197.26666666666668,44.833333333333336,197.26666666666668
2025-01-08,S001,Seattle,suburban,61.6,cold_beverage,45,6.25,6.25,1.85,0.0,40.3,0.085,Wednesday,0,0,2025-01-06,281.25,198.0,0,46.142857142857146,203.02857142857144,46.142857142857146,203.02857142857144
2025-01-09,S001,Seattle,suburban,61.6,cold_beverage,63,6.25,6.25,1.85,0.0,42.0,0.0,Thursday,0,0,2025-01-06,393.75,277.2,0,46.0,202.4,46.0,202.4
2025-01-10,S001,Seattle,suburban,61.6,cold_beverage,59,6.25,6.25,1.85,0.0,49.9,0.273,Friday,0,0,2025-01-06,368.75,259.6,0,47.888888888888886,210.7111111111111,47.888888888888886,210.7111111111111
