week_start,category,observations,mae,mape,bias
2024-12-30,cold_beverage,180,5.74,0.1382,0.81
2024-12-30,espresso,180,8.73,0.107,-0.39
2024-12-30,food,180,5.4,0.132,-1.13
2024-12-30,tea,180,5.36,0.1436,-0.31
2024-12-30,whole_bean,180,3.19,0.2406,-0.7
2025-01-06,cold_beverage,252,6.24,0.1368,0.33
2025-01-06,espresso,252,8.16,0.0985,-0.58
2025-01-06,food,252,5.53,0.1366,0.15
2025-01-06,tea,252,5.36,0.1382,-0.77
2025-01-06,whole_bean,252,2.77,0.2183,-0.42
2025-01-13,cold_beverage,252,7.07,0.1654,1.11
2025-01-13,espresso,252,9.18,0.1064,-1.27
2025-01-13,food,252,5.82,0.1393,-0.32
2025-01-13,tea,252,5.53,0.1426,-0.55
2025-01-13,whole_bean,252,3.54,0.3029,-0.3
2025-01-20,cold_beverage,252,6.46,0.1436,-0.08
2025-01-20,espresso,252,8.26,0.0978,-0.39
2025-01-20,food,252,6.02,0.144,-0.59
2025-01-20,tea,252,5.24,0.1333,-0.89
2025-01-20,whole_bean,252,3.33,0.2524,-0.62
2025-01-27,cold_beverage,252,6.6,0.1432,0.26
2025-01-27,espresso,252,8.76,0.105,-0.84
2025-01-27,food,252,5.48,0.1313,-0.63
2025-01-27,tea,252,5.8,0.1497,-0.81
2025-01-27,whole_bean,252,3.21,0.2584,-0.37
2025-02-03,cold_beverage,252,7.18,0.1644,0.68
2025-02-03,espresso,252,8.45,0.1008,-1.06
2025-02-03,food,252,5.83,0.1399,-0.53
2025-02-03,tea,252,5.28,0.1382,-0.47
2025-02-03,whole_bean,252,2.96,0.2241,-0.6
2025-02-10,cold_beverage,252,6.28,0.1278,0.31
2025-02-10,espresso,252,8.4,0.1029,-0.06
2025-02-10,food,252,5.81,0.144,0.2
2025-02-10,tea,252,5.21,0.1412,-0.59
2025-02-10,whole_bean,252,3.0,0.2472,-0.29
2025-02-17,cold_beverage,252,6.45,0.1334,-0.01
2025-02-17,espresso,252,8.23,0.1073,0.23
2025-02-17,food,252,5.58,0.1366,-0.58
2025-02-17,tea,252,5.53,0.149,-0.71
2025-02-17,whole_bean,252,3.15,0.2481,-0.69
2025-02-24,cold_beverage,252,6.54,0.121,-1.01
2025-02-24,espresso,252,8.28,0.1021,-0.41
2025-02-24,food,252,5.63,0.1339,-0.71
2025-02-24,tea,252,5.66,0.1489,-1.18
2025-02-24,whole_bean,252,2.91,0.2204,-0.58
2025-03-03,cold_beverage,252,7.33,0.1337,-1.16
2025-03-03,espresso,252,8.7,0.1064,-1.21
2025-03-03,food,252,5.69,0.1346,-0.66
2025-03-03,tea,252,5.23,0.1442,-0.12
2025-03-03,whole_bean,252,2.96,0.2413,-0.25
2025-03-10,cold_beverage,252,7.15,0.1229,-2.15
2025-03-10,espresso,252,8.68,0.1036,-1.21
2025-03-10,food,252,5.68,0.1328,-0.99
2025-03-10,tea,252,5.09,0.1382,-0.84
2025-03-10,whole_bean,252,3.22,0.264,-0.57
2025-03-17,cold_beverage,252,7.38,0.1217,-2.31
2025-03-17,espresso,252,8.28,0.1015,-0.79
2025-03-17,food,252,5.95,0.137,-0.69
2025-03-17,tea,252,5.17,0.1456,0.01
2025-03-17,whole_bean,252,3.01,0.2627,-0.29
2025-03-24,cold_beverage,252,7.61,0.1151,-3.29
